StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID4,Q7,Q6,Q33,Q8,Q9,Q10,Q11,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Beste deelnemer,


Hartelijk dank dat u wilt deelnemen aan dit onderzoek! Ik ben student aan de Universiteit van Amsterdam en doe onderzoek naar hoe ouderen muziek uit de jaren '80 ervaren, en wat voor muziekelementen hierbij de grootste rol spelen.


In dit onderzoek luistert u naar 20 korte muziekfragmenten (ongeveer 30 seconden per fragment) en geeft u elk fragment een cijfer tussen 1 (lage waardering) en 4 (hoge waardering). Het onderzoek duurt ongeveer 15 minuten. 

Deelnemen is volledig vrijwillig, en u kunt op ieder moment stoppen zonder opgaaf van reden.

Alle antwoorden worden anoniem verwerkt. Uw gegevens worden uitsluitend gebruikt voor dit onderzoek en worden niet gedeeld met derden. Er wordt geen persoonlijke informatie verzameld die naar u herleidbaar is.

Als u vragen heeft over het onderzoek, dan kunt u contact opnemen via: froukje.lycklama.a.nijeholt@student.uva.nl 

Hieronder vraag ik u om toestemming om deel te nemen aan dit onderzoek. Door akkoord te gaan, bevestigt u dat u de informatie heeft gelezen en begrijpt, en vrijwillig wilt meedoen.",Wat is uw leeftijd?,Wat is uw geslacht?,Heeft u moeite met horen (gehoorproblemen)?,Gebruikt u een hoorhulpmiddel (zoals een gehoorapparaat)?,Wat is uw muzikale achtergrond?,Hoeveel muziek uit de jaren ’80 herkent u in het algemeen?,"Hoe voelt u zich op dit moment?
(1=heel slecht, 5=heel goed)","Luister naar het volgende audiofragment:


 





Wat vindt u van het fragment?","Luister naar het volgende audiofragment:






 Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:






 Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








 Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?","Luister naar het volgende audiofragment:








Hoe waardeert u dit muziekfragment?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID33""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}"
2025-12-08 03:17:50,2025-12-08 03:33:57,IP Address,178.230.104.224,100,967,True,2025-12-08 03:33:58,R_2SuHZFHlV4PkBUT,,,,,51.9486,4.5588,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",80-85 jaar,Vrouw,"Ja, een beetje",Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",Ik herken soms muziek uit de jaren '80,,2: Ik vind het redelijk,4: Ik vind het heel mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,3: Ik vind het mooi,4: Ik vind het heel mooi,2: Ik vind het redelijk
2025-12-08 03:37:18,2025-12-08 03:50:35,IP Address,178.230.104.224,100,796,True,2025-12-08 03:50:35,R_82bFiyjCJtwjGtP,,,,,51.9486,4.5588,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",80-85 jaar,Vrouw,"Ja, een beetje",Nee,Ik heb geen muzikale achtergrond,,,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,3: Ik vind het mooi
2025-12-08 04:01:20,2025-12-08 04:11:27,IP Address,178.230.104.224,100,606,True,2025-12-08 04:11:28,R_8I0cbUeDaxL0UVj,,,,,51.9486,4.5588,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",Zeg ik liever niet,Vrouw,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",,,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,3: Ik vind het mooi
2025-12-08 04:38:36,2025-12-08 05:15:16,IP Address,178.230.104.224,100,2199,True,2025-12-08 05:15:16,R_8CKqfFTtnK3AYxj,,,,,51.9486,4.5588,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",Zeg ik liever niet,Vrouw,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",,,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,3: Ik vind het mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,3: Ik vind het mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi,3: Ik vind het mooi
2025-12-08 05:22:35,2025-12-08 05:32:06,IP Address,178.230.104.224,100,570,True,2025-12-08 05:32:06,R_23Rpoj8grzyiCxb,,,,,51.9486,4.5588,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",80-85 jaar,Man,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",,,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi
2025-12-08 11:04:36,2025-12-08 11:07:19,IP Address,172.226.96.15,100,163,True,2025-12-08 11:07:20,R_2q7MtJeInbQaSfM,,,,,52.3803,4.6422,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",65-69 jaar,Man,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",Ik herken vaak muziek uit de jaren '80,4,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,4: Ik vind het heel mooi,3: Ik vind het mooi,3: Ik vind het mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,4: Ik vind het heel mooi
2025-12-08 11:03:13,2025-12-08 11:08:59,IP Address,83.82.230.5,100,346,True,2025-12-08 11:08:59,R_8fjIiX3DpQAE4hz,,,,,52.0729,4.2713,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",65-69 jaar,Vrouw,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, en nu nog steeds",Ik herken soms muziek uit de jaren '80,4,2: Ik vind het redelijk,3: Ik vind het mooi,4: Ik vind het heel mooi,4: Ik vind het heel mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,4: Ik vind het heel mooi,2: Ik vind het redelijk,3: Ik vind het mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,3: Ik vind het mooi,2: Ik vind het redelijk,3: Ik vind het mooi
2025-12-08 14:21:06,2025-12-08 14:38:02,IP Address,195.240.89.173,100,1016,True,2025-12-08 14:38:03,R_2D9fLgg9ooZ8HZf,,,,,52.0907,4.2661,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",65-69 jaar,Man,Nee,Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, maar nu niet meer",Ik herken soms muziek uit de jaren '80,5,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,4: Ik vind het heel mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,3: Ik vind het mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,3: Ik vind het mooi
2025-12-09 12:27:50,2025-12-09 12:40:53,IP Address,81.207.16.80,100,783,True,2025-12-09 12:40:54,R_8pXA2ABVUkE3TQ1,,,,,52.0839,4.7521,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",70-74 jaar,Man,"Ja, een beetje",Nee,"Ik speelde vroeger een (of meerdere) instrument(en) of ik zong, en nu nog steeds",Ik herken soms muziek uit de jaren '80,4,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk
2025-12-14 03:19:54,2025-12-14 03:27:45,IP Address,213.247.122.50,100,470,True,2025-12-14 03:27:45,R_8GwPECvACZIqSu9,,,,,52.3125,4.6445,anonymous,EN,"Ja, ik ga akkoord en neem vrijwillig deel aan dit onderzoek.",70-74 jaar,Man,"Ja, een beetje",Nee,Ik heb geen muzikale achtergrond,Ik herken soms muziek uit de jaren '80,5,1: Ik vind het niet mooi,3: Ik vind het mooi,4: Ik vind het heel mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,3: Ik vind het mooi,3: Ik vind het mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,1: Ik vind het niet mooi,2: Ik vind het redelijk,2: Ik vind het redelijk,1: Ik vind het niet mooi,2: Ik vind het redelijk
